add_model,workspace_dir,conversation_idx,session_index,delta_count,session_score,rubric_grounded_in_context,rubric_correct_attribution,rubric_correct_temporal_framing,rubric_no_contradictory_delta,rubric_truly_incremental,rubric_no_history_leakage_as_new,rubric_no_redundant_delta_items,rubric_covers_identity_background_from_text,rubric_covers_preferences_traits_from_text,rubric_covers_relationship_facts_from_text,rubric_covers_event_facts_from_text,rubric_covers_plans_commitments_from_text,rubric_covers_schedule_time_facts_from_text,rubric_covers_state_changes_from_text,rubric_covers_problem_need_updates_from_text
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,1,11,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,2,14,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,3,9,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,4,17,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,5,13,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,6,16,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,7,32,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,8,36,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,9,8,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,10,22,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,11,9,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,12,13,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,13,16,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,14,15,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,15,17,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,16,27,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,17,25,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,18,18,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
minimax,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_minimax,0,19,14,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
