[2026-06-11 15:20:50] run_name=session_delta_textcoverage_rubrics_20260611_152050
[2026-06-11 15:20:50] evaluator_model=Qwen/Qwen3-14B
[2026-06-11 15:20:50] targets=['minimax']
[2026-06-11 15:20:50] score model=minimax conv=0 session=1 delta_items=11
[2026-06-11 15:21:07] done model=minimax conv=0 session=1 score=1.0000
[2026-06-11 15:21:07] score model=minimax conv=0 session=2 delta_items=14
[2026-06-11 15:21:24] done model=minimax conv=0 session=2 score=1.0000
[2026-06-11 15:21:24] score model=minimax conv=0 session=3 delta_items=9
[2026-06-11 15:21:42] done model=minimax conv=0 session=3 score=1.0000
[2026-06-11 15:21:42] score model=minimax conv=0 session=4 delta_items=17
[2026-06-11 15:22:01] done model=minimax conv=0 session=4 score=1.0000
[2026-06-11 15:22:01] score model=minimax conv=0 session=5 delta_items=13
[2026-06-11 15:22:17] done model=minimax conv=0 session=5 score=1.0000
[2026-06-11 15:22:17] score model=minimax conv=0 session=6 delta_items=16
[2026-06-11 15:22:37] done model=minimax conv=0 session=6 score=1.0000
[2026-06-11 15:22:37] score model=minimax conv=0 session=7 delta_items=32
[2026-06-11 15:22:58] done model=minimax conv=0 session=7 score=1.0000
[2026-06-11 15:22:58] score model=minimax conv=0 session=8 delta_items=36
[2026-06-11 15:23:16] done model=minimax conv=0 session=8 score=1.0000
[2026-06-11 15:23:16] score model=minimax conv=0 session=9 delta_items=8
[2026-06-11 15:23:35] done model=minimax conv=0 session=9 score=1.0000
[2026-06-11 15:23:35] score model=minimax conv=0 session=10 delta_items=22
[2026-06-11 15:23:52] done model=minimax conv=0 session=10 score=1.0000
[2026-06-11 15:23:52] score model=minimax conv=0 session=11 delta_items=9
[2026-06-11 15:24:16] done model=minimax conv=0 session=11 score=1.0000
[2026-06-11 15:24:16] score model=minimax conv=0 session=12 delta_items=13
[2026-06-11 15:24:36] done model=minimax conv=0 session=12 score=1.0000
[2026-06-11 15:24:36] score model=minimax conv=0 session=13 delta_items=16
[2026-06-11 15:24:55] done model=minimax conv=0 session=13 score=1.0000
[2026-06-11 15:24:55] score model=minimax conv=0 session=14 delta_items=15
[2026-06-11 15:25:15] done model=minimax conv=0 session=14 score=1.0000
[2026-06-11 15:25:15] score model=minimax conv=0 session=15 delta_items=17
[2026-06-11 15:25:29] done model=minimax conv=0 session=15 score=1.0000
[2026-06-11 15:25:29] score model=minimax conv=0 session=16 delta_items=27
[2026-06-11 15:25:43] done model=minimax conv=0 session=16 score=1.0000
[2026-06-11 15:25:43] score model=minimax conv=0 session=17 delta_items=25
[2026-06-11 15:26:00] done model=minimax conv=0 session=17 score=1.0000
[2026-06-11 15:26:00] score model=minimax conv=0 session=18 delta_items=18
[2026-06-11 15:26:23] done model=minimax conv=0 session=18 score=1.0000
[2026-06-11 15:26:23] score model=minimax conv=0 session=19 delta_items=14
[2026-06-11 15:26:40] done model=minimax conv=0 session=19 score=1.0000
[2026-06-11 15:26:40] final_score=1.0000
[2026-06-11 15:26:40] output_dir=E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\rubric\outputs\session_delta_textcoverage_rubrics_20260611_152050
